Backend Surefire summary (./mvnw -q test), JAVA_HOME=jdk-25, cwd=backend
Wave SHA: dae169614a52532c130bd34435994d6a914165c0

click.kivvi.web.AutomationsControllerTest :: Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.198 s -- in click.kivvi.web.AutomationsControllerTest
click.kivvi.web.CampaignsControllerTest :: Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.284 s -- in click.kivvi.web.CampaignsControllerTest
click.kivvi.web.CollectControllerTest :: Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.290 s -- in click.kivvi.web.CollectControllerTest
click.kivvi.web.CustomersControllerTest :: Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.151 s -- in click.kivvi.web.CustomersControllerTest
click.kivvi.web.DashboardControllerTest :: Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.118 s -- in click.kivvi.web.DashboardControllerTest
click.kivvi.web.EventsControllerTest :: Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.114 s -- in click.kivvi.web.EventsControllerTest
click.kivvi.web.FeedsControllerTest :: Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.165 s -- in click.kivvi.web.FeedsControllerTest
click.kivvi.web.ImportControllerTest :: Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.165 s -- in click.kivvi.web.ImportControllerTest
click.kivvi.web.ImportUploadControllerTest :: Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.123 s -- in click.kivvi.web.ImportUploadControllerTest
click.kivvi.web.LandingControllerTest :: Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.111 s -- in click.kivvi.web.LandingControllerTest
click.kivvi.web.LoginControllerTest :: Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.163 s -- in click.kivvi.web.LoginControllerTest
click.kivvi.web.PreferencesControllerTest :: Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.098 s -- in click.kivvi.web.PreferencesControllerTest
click.kivvi.web.SettingsControllerTest :: Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.718 s -- in click.kivvi.web.SettingsControllerTest
click.kivvi.web.SpaDocumentControllerTest :: Tests run: 23, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.171 s -- in click.kivvi.web.SpaDocumentControllerTest
click.kivvi.web.WidgetControllerTest :: Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.169 s -- in click.kivvi.web.WidgetControllerTest
